# Selection     : all 
# Volume        : 2.33333000e+00
# Time          	min(p)	location	cell	min(k)	location	cell	min(omega)	location	cell	min(nut)	location	cell
0               	0.00000000e+00	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	1.50000000e-04	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	7.50000000e+02	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	2.00000000e-07	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0
0.00011999      	1.58122389e-05	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	1.48922718e-04	(-2.00361109e-01 9.10418368e-01 5.00000000e-01)	5671	1.36119379e+02	(4.61685795e-01 4.00664797e-04 5.00000000e-01)	56	1.99894020e-07	(1.96867370e+00 2.05728518e-03 5.00000000e-01)	299
0.000263962     	1.83413959e-05	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	1.47689179e-04	(-2.00361109e-01 9.10418368e-01 5.00000000e-01)	5671	1.36880371e+02	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	1.99772612e-07	(1.96867370e+00 2.05728518e-03 5.00000000e-01)	299
0.000436717     	1.75790270e-05	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	1.46250189e-04	(-2.00361109e-01 9.10418368e-01 5.00000000e-01)	5671	1.37727600e+02	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	1.99631826e-07	(1.96867370e+00 2.05728518e-03 5.00000000e-01)	299
0.000644009     	1.64597310e-05	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	1.44565205e-04	(-2.00361109e-01 9.10418368e-01 5.00000000e-01)	5671	1.38674803e+02	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	1.99468590e-07	(1.96867370e+00 2.05728518e-03 5.00000000e-01)	299
0.000892729     	1.62033467e-05	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	1.42595421e-04	(-2.00361109e-01 9.10418368e-01 5.00000000e-01)	5671	1.39722925e+02	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	1.99280234e-07	(-2.00361109e-01 9.10418368e-01 5.00000000e-01)	5671
0.00119115      	1.64511542e-05	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	1.40301556e-04	(-2.00361109e-01 9.10418368e-01 5.00000000e-01)	5671	1.40859892e+02	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	1.99064443e-07	(-2.00361109e-01 9.10418368e-01 5.00000000e-01)	5671
0.00154914      	1.66718626e-05	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	1.37644261e-04	(-2.00361109e-01 9.10418368e-01 5.00000000e-01)	5671	1.42055606e+02	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	1.98819481e-07	(-2.00361109e-01 9.10418368e-01 5.00000000e-01)	5671
0.00197859      	1.68600611e-05	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	1.34584909e-04	(-2.00361109e-01 9.10418368e-01 5.00000000e-01)	5671	1.43251500e+02	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	1.98544466e-07	(-2.00361109e-01 9.10418368e-01 5.00000000e-01)	5671
0.00249383      	1.71074815e-05	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	1.31087026e-04	(-2.00361109e-01 9.10418368e-01 5.00000000e-01)	5671	1.44350820e+02	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	1.98239770e-07	(-2.00361109e-01 9.10418368e-01 5.00000000e-01)	5671
0.00311186      	1.74303600e-05	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	1.27121072e-04	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	1.45268736e+02	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	1.97907722e-07	(-2.00361109e-01 9.10418368e-01 5.00000000e-01)	5671
