# Selection     : all 
# Volume        : 2.33333000e+00
# Time          	max(p)	location	cell	max(k)	location	cell	max(omega)	location	cell	max(nut)	location	cell
0               	0.00000000e+00	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	1.50000000e-04	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	7.50000000e+02	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	2.00000000e-07	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0
0.00011999      	1.89194470e-03	(-2.44709600e-03 4.00664797e-04 5.00000000e-01)	5009	1.51782859e-04	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99	7.45026276e+02	(1.56631511e-03 2.05728518e-03 5.00000000e-01)	200	1.11507164e-06	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
0.000263962     	2.05748580e-03	(-2.44709600e-03 4.00664797e-04 5.00000000e-01)	5009	1.53870432e-04	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99	7.39326759e+02	(1.56631511e-03 2.05728518e-03 5.00000000e-01)	200	1.12374942e-06	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
0.000436717     	2.12460107e-03	(-2.44709600e-03 4.00664797e-04 5.00000000e-01)	5009	1.56389584e-04	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99	7.32669874e+02	(1.56631511e-03 2.05728518e-03 5.00000000e-01)	200	1.13437307e-06	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
0.000644009     	2.12051030e-03	(-2.44709600e-03 4.00664797e-04 5.00000000e-01)	5009	1.59467118e-04	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99	7.24862924e+02	(1.56631511e-03 2.05728518e-03 5.00000000e-01)	200	1.14734203e-06	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
0.000892729     	2.12514607e-03	(-2.44709600e-03 4.00664797e-04 5.00000000e-01)	5009	1.63253492e-04	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99	7.15719570e+02	(4.74706631e-03 2.05728518e-03 5.00000000e-01)	201	1.16319513e-06	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
0.00119115      	2.13070403e-03	(-2.44709600e-03 4.00664797e-04 5.00000000e-01)	5009	1.67940926e-04	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99	7.05050047e+02	(4.74706631e-03 2.05728518e-03 5.00000000e-01)	201	1.18263567e-06	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
0.00154914      	2.14903281e-03	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	1.73782661e-04	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99	6.92696618e+02	(-2.84388080e-01 1.21537301e-03 5.00000000e-01)	5010	1.20657367e-06	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
0.00197859      	2.17919380e-03	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	1.81121407e-04	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99	6.78471383e+02	(-2.84388080e-01 1.21537301e-03 5.00000000e-01)	5010	1.23620994e-06	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
0.00249383      	2.21365862e-03	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	1.90432844e-04	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99	6.62195542e+02	(-2.84388080e-01 1.21537301e-03 5.00000000e-01)	5010	1.27315896e-06	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
0.00311186      	2.25312406e-03	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	2.02386192e-04	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99	6.43733651e+02	(-2.84388080e-01 1.21537301e-03 5.00000000e-01)	5010	1.31957969e-06	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
0.00385304      	2.30111306e-03	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	2.17954000e-04	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99	6.22998260e+02	(-2.84388080e-01 1.21537301e-03 5.00000000e-01)	5010	1.37847875e-06	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
0.00474246      	2.36088549e-03	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	2.38610237e-04	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99	5.99952966e+02	(-2.84388080e-01 1.21537301e-03 5.00000000e-01)	5010	1.45422739e-06	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
